"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro","haploid","auto.hap"
"Ametrida centurio",1,"XAfusion","Ametrida centurio","Ametrida","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1847",1847,"Mammals",0,55,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",12.6,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ametrida centurio","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",543,-60.16800341,-1.274066669,0,1.274066669,"This work",0,0,0,0,1,0,0,0,251.3404861,2203.335026,651.3235477,56.54268467,245.0767223,1545.512085,14.2745164,0.00106991,0.03101696,0.038647684,0.058072365,0.142857143,15,14
"Anoura caudifer",0,"XY","Anoura caudifer","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","Ã‰. GEOFFROY SAINT-HILAIRE 1818",1818,"Mammals",0,58.32,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",11.5,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura caudifer","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",612,-61.7981711,-7.287630709,0,7.287630709,"This work",0,0,0,0,1,0,0,0,233.3821432,2016.08081,1142.354227,53.55818371,522.0144638,1178.071706,33.76922196,0.003291349,0.081465065,0.072396962,0.100789317,0,15,14
"Anoura cultrata",0,"XY","Anoura cultrata","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HANDLEY 1960",1960,"Mammals",0,78,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",17.39,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura cultrata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",126,-74.73427273,-0.658546806,0,0.658546806,"This work",0,0,0,0,1,0,0,0,188.3339609,2110.197591,571.8920635,43.22353782,1535.267921,636.6023309,75.69501551,0.004814424,0.047728523,0.17658304,0.008440745,0.066666667,15,14
"Anoura geoffroyi",0,"XY","Anoura geoffroyi","Anoura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1838",1838,"Mammals",0,73,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",19,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anoura geoffroyi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",875,-63.73339989,-3.910434377,0,3.910434377,"This work",0,0,0,0.027428571,0.972571429,0,0,0,227.4211538,1628.743259,1179.573545,66.4732466,735.349431,719.3458596,51.18951636,0.00451319,0.09160729,0.105908961,0.102918728,0,15,14
"Ardops nichollsi",1,"XAfusion","Ardops nichollsi","Ardops","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1891",1891,"Mammals",0,70,"",1,"Phylogenetic Multiple Imputation",19.23,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ardops nichollsi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",9,-61.02117626,14.64841893,1,14.64841893,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,258.9527736,1967.530808,915.6921014,37.55840144,15.37835542,131.7109238,301.510553,0.002141948,0.011235262,0.008192428,0,0,15,14
"Ariteus flavescens",1,"XAfusion","Ariteus flavescens","Ariteus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1831",1831,"Mammals",0,58,"",1,"Phylogenetic Multiple Imputation",11.9,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ariteus flavescens","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",5,-77.31050231,18.15592776,1,18.15592776,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,253.2005276,1723.423194,1009.909665,43.12245149,102.419739,102.4121817,283.65959,0.006526297,0.045440533,0.046030407,0,0,15,14
"Artibeus fimbriatus",1,"XAfusion","Artibeus fimbriatus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1838",1838,"Mammals",0,110,"",1,"Phylogenetic Multiple Imputation",63.9,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus fimbriatus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",173,-48.0409646,-22.10283343,0,22.10283343,"This work",0,0,0,0,1,0,0,0,214.0519381,1448.123169,2542.114183,43.04727774,481.7832566,164.6414966,96.66061087,0.010577082,0.197665875,0.199167169,0.052718867,0,15,14
"Artibeus jamaicensis",1,"XAfusion","Artibeus jamaicensis","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","LEACH 1821",1821,"Mammals",0,130,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",70.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus jamaicensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",258,-90.49776019,15.78545489,0,15.78545489,"This work",0,0,0,0.046511628,0.953488372,0,0,0,236.0898608,1672.069232,1348.977244,70.71866334,512.0297079,289.455116,101.8999449,0.006441345,0.115206237,0.133062036,0.005378679,0,15,14
"Artibeus lituratus",1,"XAfusion","Artibeus lituratus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","OLFERS 1818",1818,"Mammals",0,130,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",70.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus lituratus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1334,-61.77883687,-5.132268857,0,5.132268857,"This work",0,0,0,0.013493253,0.986506747,0,0,0,240.1742924,1890.091233,1065.647971,59.18796638,435.7125823,1031.738308,32.47627591,0.002953967,0.073074861,0.070024983,0.073254302,0,15,14
"Artibeus obscurus",1,"XAfusion","Artibeus obscurus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SCHINZ 1821",1821,"Mammals",0,130,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",70.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus obscurus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",998,-56.89439361,-7.952922352,0,7.952922352,"This work",0,0,0,0,1,0,0,0,246.2262123,1942.310163,970.5974431,58.18544291,330.3716575,1219.6683,19.81670576,0.002212506,0.065518009,0.044624263,0.078623397,0,15,14
"Artibeus planirostris",1,"XAfusion","Artibeus planirostris","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SPIX 1823",1823,"Mammals",0,93,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",47,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus planirostris","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",975,-56.33606517,-8.55508033,0,8.55508033,"This work",0,0,0,0,1,0,0,0,248.0996057,1831.613073,1045.351921,62.95457003,322.5603521,1104.553073,16.5657995,0.001914668,0.073003652,0.041986281,0.101499564,0,15,14
"Brachyphylla nana",0,"XY","Brachyphylla nana","Brachyphylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1902",1902,"Mammals",0,84.19,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",45.5,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Brachyphylla nana","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",45,-78.91392824,21.60109753,1,21.60109753,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,248.2879331,1356.393217,1500.854969,50.60371382,142.1413712,135.4877086,193.7550295,0.005305815,0.147539529,0.113376842,0.001113476,0,16,15
"Carollia brevicauda",1,"XAfusion","Carollia brevicauda","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SCHINZ 1821",1821,"Mammals",0,70,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",14.85,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia brevicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",982,-59.97676948,-4.559619393,0,4.559619393,"This work",0,0,0,0,1,0,0,0,245.1279868,2005.96682,779.9473502,57.42364672,381.9076078,1280.521619,21.99603686,0.001878016,0.040580933,0.056293846,0.048243861,0,10,9
"Carollia castanea",1,"XAfusion","Carollia castanea","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","H. ALLEN 1890",1890,"Mammals",0,60,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",13.3,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia castanea","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",273,-72.62144078,5.781394489,0,5.781394489,"This work",0,0,0,0,1,0,0,0,237.9759512,2391.717455,592.132193,50.51746574,477.4949915,1032.334321,47.90660964,0.003124177,0.040284344,0.11878454,0.071828412,0,10,9
"Carollia perspicillata",1,"XAfusion","Carollia perspicillata","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","LINNAEUS 1758",1758,"Mammals",0,74,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",19.23,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia perspicillata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1278,-60.30370453,-6.123869585,0,6.123869585,"This work",0,0,0,0,1,0,0,0,241.7383508,1923.029278,1048.580218,57.33068319,398.5539174,1055.50126,30.25342867,0.002763884,0.071593143,0.067081378,0.076164777,0,10,9
"Carollia subrufa",1,"XAfusion","Carollia subrufa","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HAHN 1905",1905,"Mammals",0,61,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",15.84,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia subrufa","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",38,-89.73877326,14.48385441,0,14.48385441,"This work",0,0,0,0,1,0,0,0,230.7384609,1819.758025,1042.097381,80.15678883,693.118642,190.8170056,164.5839889,0.012133246,0.167077341,0.152109683,0.000272378,0,10,9
