"","XYorvariant","sex.imputed","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro","perc.acro.binned","haploid","auto.hap"
"Atilax paludinosus",1,"0","YAfusion","Atilax paludinosus","Atilax","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,640,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4100,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,6,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Atilax paludinosus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1312,20.56400116,-2.253209464,0,2.253209464,"This work",1,0,0,0,0,0,0,0,233.7448591,1197.525106,1712.893175,81.04214193,716.1278318,487.4002171,63.78904354,0.002395966,0.115041031,0.148447575,0.085563192,0.117647059,"(0.01,0.25]",18,17
"Bdeogale nigripes",0,"0","XY","Bdeogale nigripes","Bdeogale","Herpestidae","Carnivora","Carnivora","Mammalia","PUCHERAN 1855",1855,"Mammals",0,650,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4800,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Bdeogale nigripes","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",217,18.07967164,2.044547192,0,2.044547192,"This work",1,0,0,0,0,0,0,0,235.3760038,1724.400287,853.9202394,55.1408407,563.9192262,679.2690756,27.93010574,0.001152522,0.040164162,0.046954153,0.027425275,0.16666667,"(0.01,0.25]",18,17
"Crossarchus obscurus",0,"0","XY","Crossarchus obscurus","Crossarchus","Herpestidae","Carnivora","Carnivora","Mammalia","F. CUVIER 1825",1825,"Mammals",0,367,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1160,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crossarchus obscurus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",65,-6.238910079,6.885060899,0,6.885060899,"This work",1,0,0,0,0,0,0,0,256.3487069,1820.178894,1101.819054,62.99297877,203.4605415,281.0919226,125.8041783,0.007689181,0.230750908,0.243561289,0.001697753,0,"[0,0.01]",18,17
"Cynictis penicillata",0,"0","XY","Cynictis penicillata","Cynictis","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,460,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",900,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Cynictis penicillata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",228,21.97078141,-25.33613553,0,25.33613553,"This work",1,0,0,0,0,0,0,0,193.7113174,384.0637395,4379.381659,84.0080558,1100.248469,560.275643,18.71795841,0.002000659,0.039476231,0.031153182,0.406859275,0,"[0,0.01]",18,17
"Helogale parvula",0,"0","XY","Helogale parvula","Helogale","Herpestidae","Carnivora","Carnivora","Mammalia","SUNDEVALL 1847",1847,"Mammals",0,227,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",341,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Helogale parvula","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",686,32.32822625,-7.219326212,0,7.219326212,"This work",1,0,0,0,0,0,0,0,225.0303194,864.718155,1884.135371,94.12427426,937.6492039,536.3956184,48.65387941,0.00160426,0.08054949,0.124775274,0.158017919,0,"[0,0.01]",18,17
"Urva brachyura",1,"0","YAfusion","Urva brachyura","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","GRAY, 1837",1837,"Mammals",0,445,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1853.52,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes brachyurus","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",161,114.2051735,0.860927765,0,0.860927765,"This work",0,0,1,0,0,0,0,0,252.4393284,2913.421836,339.3764902,25.73697237,243.5833461,1173.642167,76.21436426,0.003690118,0.200769252,0.030303791,2.60182e-07,0,"[0,0.01]",18,17
"Urva edwardsii",1,"0","YAfusion","Urva edwardsii","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,480,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1300,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes edwardsii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",446,73.86179638,24.00722179,0,24.00722179,"This work",0.002242152,0,0.719730942,0,0,0,0.278026906,0,249.2939416,846.8634198,5211.870751,113.0763944,476.1493317,210.2724727,377.9024509,0.00579236,0.359730436,0.014547596,0.023943101,0,"[0,0.01]",18,17
"Urva fusca",1,"0","YAfusion","Urva fusca","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","WATERHOUSE, 1838",1838,"Mammals",0,650,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",2700,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes fuscus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",22,80.21228281,7.661929603,0,7.661929603,"This work",0,0,1,0,0,0,0,0,261.7047493,1956.963503,1075.282973,76.24614502,278.5944585,181.8896699,684.973454,0.006190878,0.203221257,0.022371026,5.44537e-05,0,"[0,0.01]",18,17
"Herpestes ichneumon",1,"0","YAfusion","Herpestes ichneumon","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","LINNAEUS 1758",1758,"Mammals",0,608,"HBL",0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",4000,0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",0,1,0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes ichneumon","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1459,21.70836079,2.239355946,0,2.239355946,"This work",0.813570939,0,0,0,0,0,0.186429061,0,236.095686,967.6026963,2443.562095,94.44543176,677.6624574,454.3569126,76.27071271,0.002646092,0.1299361,0.130992,0.097859815,0.380952381,"(0.25,0.4]",22,21
"Urva javanica",1,"0","YAfusion","Urva javanica","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,420,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1800,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,8,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes javanicus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",654,75.90313369,27.41817375,0,27.41817375,"This work",0.006116208,0,0.810397554,0,0,0,0.183486239,0,227.7502993,1292.351557,4648.88351,96.2591939,610.2906357,295.6055337,307.4002484,0.006406334,0.274107881,0.033355162,0.03195761,0,"[0,0.01]",18,17
"Herpestes pulverulentus",1,"0","YAfusion","Herpestes pulverulentus","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(WAGNER, 1839)",1839,"Mammals",0,420,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1250,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes pulverulentus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",89,22.95556865,-30.55544069,0,30.55544069,"This work",1,0,0,0,0,0,0,0,168.3110091,371.0239315,4697.484074,57.369321,1032.569045,342.097431,23.57639256,0.001830281,0.038614777,0.071070184,0.420851528,0,"[0,0.01]",20,19
"Herpestes sanguineus",1,"0","YAfusion","Herpestes sanguineus","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(RÜPPELL, 1835)",1835,"Mammals",0,353,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",789,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes sanguineus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1527,22.70456147,-2.03767136,0,2.03767136,"This work",0.998035363,0,0,0,0,0,0.001964637,0,238.0487555,966.1728556,2022.480738,91.10524441,741.8711332,500.3259111,53.52492101,0.002031596,0.110822132,0.119868193,0.156590536,0.3,"(0.25,0.4]",21,20
"Urva urva",1,"0","YAfusion","Urva urva","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(HODGSON, 1836)",1836,"Mammals",0,520,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",4000,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes urva","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",448,104.436396,22.24650219,0,22.24650219,"This work",0,0,0.772321429,0,0,0,0.227678571,0,205.3700567,1765.761732,4366.864287,75.90314877,662.2376471,331.6923447,240.0746993,0.00695993,0.150062826,0.064918432,0.000860302,0,"[0,0.01]",18,17
"Ichneumia albicauda",0,"0","XY","Ichneumia albicauda","Ichneumia","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,1040,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",5220,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,6,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ichneumia albicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1371,22.69214335,0.035378081,0,0.035378081,"This work",0.954777535,0,0,0,0,0,0.045222465,0,241.381488,921.1270616,2175.30151,96.18080861,742.1351998,465.2198665,60.18731,0.002385798,0.123763478,0.136487316,0.139137904,0.16666667,"(0.01,0.25]",18,17
"Mungos mungo",0,"0","XY","Mungos mungo","Mungos","Herpestidae","Carnivora","Carnivora","Mammalia","GMELIN 1788",1788,"Mammals",0,400,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1880,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Mungos mungo","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1016,28.04374802,-5.106943024,0,5.106943024,"This work",1,0,0,0,0,0,0,0,234.6849538,970.027006,1821.048835,89.83618072,786.1295323,532.4889476,46.81788291,0.00165681,0.079984896,0.138775751,0.142435149,0,"[0,0.01]",18,17
"Suricata suricatta",0,"0","XY","Suricata suricatta","Suricata","Herpestidae","Carnivora","Carnivora","Mammalia","SCHREBER 1776",1776,"Mammals",0,310,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",915,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Suricata suricatta","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",186,21.32049334,-25.9001873,0,25.9001873,"This work",1,0,0,0,0,0,0,0,191.9117542,323.681722,4521.39323,84.52209262,1096.839797,569.8716977,14.801146,0.001627874,0.035137651,0.022966317,0.409599563,0.16666667,"(0.01,0.25]",18,17
