species,sex
Herpestes ichneumon,YAfusion
Mungos mungo,XY
Mungos gambianus,XY
Ichneumia albicauda,XY
Urva javanica,YAfusion
Helogale parvula,XY
Cynictis penicillata,XY
Atilax paludinosus,YAfusion
Crossarchus obscurus,XY
Paracynictis selousi,XY
Suricata suricatta,XY
Bdeogale crassicauda,XY
Rhynchogale melleri,XY
Xenogale naso,XY
Crossarchus alexandri,XY
Bdeogale omnivora,XY
Helogale hirtula,XY
Crossarchus platycephalus,XY
Bdeogale nigripes,XY
Crossarchus ansorgei,XY
Liberiictis kuhni,XY
Dologale dybowskii,XY
Bdeogale jacksoni,XY
Urva smithii,XY
Urva edwardsii,YAfusion
Herpestes sanguineus,YAfusion
Urva vitticollis,XY
Urva fusca,YAfusion
Herpestes pulverulentus,YAfusion
Urva urva,YAfusion
Urva brachyura,YAfusion
Herpestes flavescens,XY
Urva semitorquata,XY
Urva auropunctata,YAfusion
Herpestes ochraceus,XY
Diaemus youngii,XY
Desmodus rotundus,XY
Desmodus draculae,XY
Scleronycteris ega,XY
Neonycteris pusilla,XY
Dryadonycteris capixaba,XY
Diphylla ecaudata,XY
Micronycteris sanborni,XY
Micronycteris yatesi,XY
Micronycteris schmidtorum,XY
Micronycteris minuta,XY
Micronycteris matses,XY
Micronycteris megalotis,XY
Micronycteris microtis,XY
Micronycteris buriri,XY
Micronycteris giovanniae,XY
Micronycteris brosseti,XY
Micronycteris hirsuta,XY
Lampronycteris brachyotis,XY
Lonchorhina orinocensis,XY
Lonchorhina aurita,XY
Glossophaga soricina,XY
Glossophaga morenoi,XY
Glossophaga longirostris,XY
Glossophaga leachii,XY
Glossophaga commissarisi,XY
Gardnerycteris koepckeae,XY
Leptonycteris nivalis,XY
Leptonycteris yerbabuenae,XY
Leptonycteris curasoae,XY
Monophyllus redmani,XY
Monophyllus plethodon,XY
Brachyphylla nana,XY
Brachyphylla cavernarum,XY
Erophylla sezekorni,XY
Erophylla bombifrons,XY
Phyllonycteris poeyi,XY
Phyllonycteris aphylla,XY
Anoura luismanueli,XY
Anoura cultrata,XY
Anoura fistulata,XY
Anoura latidens,XY
Anoura geoffroyi,XY
Anoura caudifer,XY
Anoura canishina,XY
Hylonycteris underwoodi,XY
Choeronycteris mexicana,XY
Choeroniscus godmani,XY
Choeroniscus periosus,XY
Choeroniscus minor,XY
Musonycteris harrisoni,XY
Lichonycteris obscura,XY
Lonchophylla thomasi,XY
Lonchophylla bokermanni,XY
Lonchophylla handleyi,XY
Lonchophylla orienticollina,XY
Lonchophylla robusta,XY
Lonchophylla fornicata,XY
Lonchophylla orcesi,XY
Lonchophylla inexpectata,XY
Lonchophylla chocoana,XY
Lonchophylla dekeyseri,XY
Lionycteris spurrelli,XY
Lonchophylla peracchii,XY
Lonchophylla hesperia,XY
Lonchophylla mordax,XY
Lonchophylla concava,XY
Hsunycteris thomasi,XY
Hsunycteris pattoni,XY
Hsunycteris cadenai,XY
Xeronycteris vieirai,XY
Platalina genovensium,XY
Ectophylla alba,XY
Ariteus flavescens,XAfusion
Ardops nichollsi,XAfusion
Phyllops falcatus,XAfusion
Stenoderma rufum,XY
Pygoderma bilabiatum,XY
Ametrida centurio,XAfusion
Sphaeronycteris toxophyllum,XY
Centurio senex,XY
Artibeus concolor,XY
Artibeus inopinatus,XY
Artibeus hirsutus,XY
Artibeus fraterculus,XY
Artibeus jamaicensis,XAfusion
Artibeus fimbriatus,XAfusion
Artibeus lituratus,XAfusion
Artibeus obscurus,XAfusion
Artibeus planirostris,XAfusion
Artibeus amplus,XY
Dermanura tolteca,XAfusion
Dermanura phaeotis,XAYAfusion
Dermanura rosenbergi,XY
Dermanura watsoni,XAYAfusion
Dermanura incomitatus,XY
Dermanura azteca,XAfusion
Dermanura glauca,XY
Dermanura cinerea,XAYAfusion
Dermanura gnoma,XY
Dermanura bogotensis,XY
Dermanura rava,XY
Dermanura anderseni,XY
Enchisthenes hartii,XY
Vampyressa thyone,XAYAfusion
Vampyressa pusilla,XAYAfusion
Vampyressa melissa,XY
Vampyressa sinchi,XY
Mesophylla macconnelli,XAYAfusion
Vampyressa elisabethae,XY
Vampyrodes caraccioli,XAYAfusion
Platyrrhinus helleri,XY
Platyrrhinus matapalensis,XY
Platyrrhinus recifinus,XY
Platyrrhinus guianensis,XY
Platyrrhinus fusciventris,XY
Platyrrhinus angustirostris,XY
Platyrrhinus nitelinea,XY
Platyrrhinus nigellus,XY
Platyrrhinus brachycephalus,XY
Platyrrhinus chocoensis,XY
Platyrrhinus umbratus,XY
Platyrrhinus masu,XY
Platyrrhinus ismaeli,XY
Platyrrhinus vittatus,XAYAfusion
Platyrrhinus albericoi,XY
Platyrrhinus dorsalis,XY
Platyrrhinus infuscus,XY
Platyrrhinus aurarius,XY
Platyrrhinus lineatus,XAYAfusion
Vampyriscus bidens,XAYAfusion
Vampyriscus brocki,XAYAfusion
Vampyriscus nymphaeus,XY
Chiroderma doriae,XY
Chiroderma trinitatum,XY
Chiroderma improvisum,XY
Chiroderma villosum,XAYAfusion
Chiroderma salvini,XY
Chiroderma vizottoi,XY
Uroderma magnirostrum,XAYAfusion
Uroderma bilobatum,XAYAfusion
Uroderma bakeri,XY
Sturnira nana,XY
Sturnira aratathomasi,XY
Sturnira tildae,XY
Sturnira bogotensis,XY
Sturnira magna,XY
Sturnira perla,XY
Sturnira koopmanhilli,XY
Sturnira mordax,XY
Sturnira oporaphilum,XY
Sturnira ludovici,XY
Sturnira burtonlimi,XY
Sturnira hondurensis,XY
Sturnira lilium,XY
Sturnira parvidens,XY
Sturnira sorianoi,XY
Sturnira bakeri,XY
Sturnira paulsoni,XY
Sturnira angeli,XY
Sturnira luisi,XY
Sturnira erythromos,XY
Sturnira mistratensis,XY
Sturnira bidens,XY
Rhinophylla pumilio,XY
Rhinophylla fischerae,XY
Rhinophylla alethina,XY
Carollia subrufa,XAfusion
Carollia manu,XY
Carollia sowelli,XY
Carollia perspicillata,XAfusion
Carollia brevicauda,XAfusion
Carollia castanea,XAfusion
Carollia benkeithi,XY
Glyphonycteris daviesi,XY
Glyphonycteris sylvestris,XY
Glyphonycteris behnii,XY
Trinycteris nicefori,XY
Trachops cirrhosus,XY
Mimon cozumelae,XY
Lonchorhina inusitata,XY
Macrophyllum macrophyllum,XY
Mimon bennettii,XY
Phyllostomus hastatus,XY
Phyllostomus latifolius,XY
Phyllostomus elongatus,XY
Tonatia saurophila,XY
Tonatia bidens,XY
Phyllostomus discolor,XY
Phylloderma stenops,XY
Lonchorhina marinkellei,XY
Gardnerycteris crenulata,XY
Lophostoma carrikeri,XY
Lophostoma brasiliense,XY
Lophostoma occidentale,XY
Lophostoma schulzi,XY
Lophostoma silvicola,XY
Lophostoma kalkoae,XY
Lophostoma evotis,XY
Lophostoma yasuni,XY
Vampyrum spectrum,XY
Lonchorhina fernandezi,XY
Chrotopterus auritus,XY
Macrotus waterhousii,XY
Macrotus californicus,XY
Anourosorex assamensis,XY
Anourosorex schmidi,XY
Anourosorex squamipes,XY
Anourosorex yamashinai,XY
Blarina brevicauda,XY
Blarina carolinensis,XY
Blarina hylophaga,XY
Blarinella griselda,XY
Blarinella quadraticauda,XY
Blarinella wardi,XY
Chimarrogale hantu,XY
Chimarrogale himalayica,XY
Chimarrogale phaeura,XY
Chimarrogale platycephalus,XY
Chimarrogale styani,XY
Chimarrogale sumatrana,XY
Chodsigoa caovansunga,XY
Chodsigoa hypsibia,XY
Chodsigoa lamula,XY
Chodsigoa parca,XY
Chodsigoa parva,XY
Chodsigoa salenskii,XY
Chodsigoa smithii,XY
Chodsigoa sodalis,XY
Congosorex phillipsorum,XY
Congosorex polli,XY
Congosorex verheyeni,XY
Crocidura abscondita,XY
Crocidura aleksandrisi,XY
Crocidura allex,XY
Crocidura andamanensis,XY
Crocidura annamitensis,XY
Crocidura ansellorum,XY
Crocidura arabica,XY
Crocidura arispa,XY
Crocidura armenica,XY
Crocidura attenuata,XY
Crocidura attila,XY
Crocidura baileyi,XY
Crocidura baluensis,XY
Crocidura batakorum,XY
Crocidura batesi,XY
Crocidura beatus,XY
Crocidura beccarii,XY
Crocidura bottegi,XY
Crocidura bottegoides,XY
Crocidura brunnea,XY
Crocidura buettikoferi,XY
Crocidura caliginea,XY
Crocidura canariensis,XY
Crocidura caspica,XY
Crocidura cinderella,XY
Crocidura congobelgica,XY
Crocidura cranbrooki,XY
Crocidura crenata,XY
Crocidura crossei,XY
Crocidura cyanea,XY
Crocidura denti,XY
Crocidura desperata,XY
Crocidura dhofarensis,XY
Crocidura dolichura,XY
Crocidura douceti,XY
Crocidura dsinezumi,XY
Crocidura eisentrauti,XY
Crocidura elgonius,XY
Crocidura elongata,XY
Crocidura erica,XY
Crocidura fingui,XY
Crocidura fischeri,XY
Crocidura flavescens,XY
Crocidura floweri,XY
Crocidura foetida,XY
Crocidura foxi,XY
Crocidura fuliginosa,XY
Crocidura fulvastra,XY
Crocidura fumosa,XY
Crocidura fuscomurina,XY
Crocidura glassi,XY
Crocidura gmelini,XY
Crocidura goliath,XY
Crocidura gracilipes,XY
Crocidura grandiceps,XY
Crocidura grandis,XY
Crocidura grassei,XY
Crocidura grayi,XY
Crocidura greenwoodi,XY
Crocidura guy,XY
Crocidura harenna,XY
Crocidura hikmiya,XY
Crocidura hildegardeae,XY
Crocidura hilliana,XY
Crocidura hirta,XY
Crocidura hispida,XY
Crocidura horsfieldii,XY
Crocidura hutanis,XY
Crocidura indochinensis,XY
Crocidura jacksoni,XY
Crocidura jenkinsi,XY
Crocidura jouvenetae,XY
Crocidura katinka,XY
Crocidura kivuana,XY
Crocidura lamottei,XY
Crocidura lanosa,XY
Crocidura lasiura,XY
Crocidura latona,XY
Crocidura lea,XY
Crocidura lepidura,XY
Crocidura leucodon,XY
Crocidura levicula,XY
Crocidura littoralis,XY
Crocidura longipes,XY
Crocidura lucina,XY
Crocidura ludia,XY
Crocidura luna,XY
Crocidura lusitania,XY
Crocidura lwiroensis,XY
Crocidura macarthuri,XY
Crocidura macmillani,XY
Crocidura macowi,XY
Crocidura malayana,XY
Crocidura manengubae,XY
Crocidura maquassiensis,XY
Crocidura mariquensis,XY
Crocidura maurisca,XY
Crocidura maxi,XY
Crocidura mdumai,XY
Crocidura mindorus,XY
Crocidura miya,XY
Crocidura monax,XY
Crocidura monticola,XY
Crocidura montis,XY
Crocidura munissii,XY
Crocidura muricauda,XY
Crocidura musseri,XY
Crocidura mutesae,XY
Crocidura nana,XY
Crocidura nanilla,XY
Crocidura neglecta,XY
Crocidura negligens,XY
Crocidura negrina,XY
Crocidura newmarki,XY
Crocidura nicobarica,XY
Crocidura nigeriae,XY
Crocidura nigricans,XY
Crocidura nigripes,XY
Crocidura nigrofusca,XY
Crocidura nimbae,XY
Crocidura nimbasilvanus,XY
Crocidura ninoyi,XY
Crocidura niobe,XY
Crocidura obscurior,XY
Crocidura olivieri,XY
Crocidura orientalis,XY
Crocidura orii,XY
Crocidura pachyura,XY
Crocidura palawanensis,XY
Crocidura panayensis,XY
Crocidura paradoxura,XY
Crocidura parvipes,XY
Crocidura pasha,XY
Crocidura pergrisea,XY
Crocidura phaeura,XY
Crocidura phanluongi,XY
Crocidura phuquocensis,XY
Crocidura picea,XY
Crocidura pitmani,XY
Crocidura planiceps,XY
Crocidura poensis,XY
Crocidura polia,XY
Crocidura pullata,XY
Crocidura raineyi,XY
Crocidura ramona,XY
Crocidura rapax,XY
Crocidura religiosa,XY
Crocidura rhoditis,XY
Crocidura roosevelti,XY
Crocidura russula,XY
Crocidura sapaensis,XY
Crocidura selina,XY
Crocidura serezkyensis,XY
Crocidura shantungensis,XY
Crocidura sibirica,XY
Crocidura sicula,XY
Crocidura silacea,XY
Crocidura smithii,XY
Crocidura sokolovi,XY
Crocidura somalica,XY
Crocidura stenocephala,XY
Crocidura suaveolens,XY
Crocidura susiana,XY
Crocidura tanakae,XY
Crocidura tansaniana,XY
Crocidura tarella,XY
Crocidura tarfayensis,XY
Crocidura telfordi,XY
Crocidura tenuis,XY
Crocidura thalia,XY
Crocidura theresae,XY
Crocidura thomensis,XY
Crocidura trichura,XY
Crocidura turba,XY
Crocidura ultima,XY
Crocidura usambarae,XY
Crocidura viaria,XY
Crocidura virgata,XY
Crocidura voi,XY
Crocidura vorax,XY
Crocidura vosmaeri,XY
Crocidura watasei,XY
Crocidura whitakeri,XY
Crocidura wimmeri,XY
Crocidura wuchihensis,XY
Crocidura xantippe,XY
Crocidura yankariensis,XY
Crocidura zaitsevi,XY
Crocidura zaphiri,XY
Crocidura zarudnyi,XY
Crocidura zimmeri,XY
Crocidura zimmermanni,XY
Cryptotis alticola,XY
Cryptotis aroensis,XY
Cryptotis brachyonyx,XY
Cryptotis colombiana,XY
Cryptotis endersi,XY
Cryptotis equatoris,XY
Cryptotis goldmani,XY
Cryptotis goodwini,XY
Cryptotis gracilis,XY
Cryptotis griseoventris,XY
Cryptotis hondurensis,XY
Cryptotis lacandonensis,XY
Cryptotis lacertosus,XY
Cryptotis magna,XY
Cryptotis mam,XY
Cryptotis mayensis,XY
Cryptotis medellinia,XY
Cryptotis mera,XY
Cryptotis meridensis,XY
Cryptotis merriami,XY
Cryptotis mexicana,XY
Cryptotis montivaga,XY
Cryptotis nelsoni,XY
Cryptotis niausa,XY
Cryptotis nigrescens,XY
Cryptotis obscura,XY
Cryptotis oreoryctes,XY
Cryptotis orophila,XY
Cryptotis parva,XY
Cryptotis peregrina,XY
Cryptotis perijensis,XY
Cryptotis peruviensis,XY
Cryptotis phillipsii,XY
Cryptotis squamipes,XY
Cryptotis tamensis,XY
Cryptotis thomasi,XY
Cryptotis tropicalis,XY
Cryptotis venezuelensis,XY
Diplomesodon pulchellum,XY
Episoriculus caudatus,XY
Episoriculus fumidus,XY
Episoriculus leucops,XY
Episoriculus macrurus,XY
Feroculus feroculus,XY
Megasorex gigas,XY
Myosorex babaulti,XY
Myosorex blarina,XY
Myosorex bururiensis,XY
Myosorex cafer,XY
Myosorex eisentrauti,XY
Myosorex geata,XY
Myosorex gnoskei,XY
Myosorex jejei,XY
Myosorex kabogoensis,XY
Myosorex kihaulei,XY
Myosorex longicaudatus,XY
Myosorex meesteri,XY
Myosorex okuensis,XY
Myosorex rumpii,XY
Myosorex schalleri,XY
Myosorex sclateri,XY
Myosorex tenuis,XY
Myosorex varius,XY
Myosorex zinki,XY
Nectogale elegans,XY
Neomys anomalus,XY
Neomys fodiens,XY
Neomys teres,XY
Notiosorex cockrumi,XY
Notiosorex crawfordi,XY
Notiosorex evotis,XY
Notiosorex villai,XY
Paracrocidura graueri,XY
Paracrocidura maxima,XY
Paracrocidura schoutedeni,XY
Ruwenzorisorex suncoides,XY
Scutisorex somereni,XY
Scutisorex thori,XY
Solisorex pearsoni,XY
Sorex alaskanus,XY
Sorex alpinus,XY
Sorex antinorii,XAfusion
Sorex araneus,XAfusion
Sorex arcticus,XAfusion
Sorex arizonae,XY
Sorex arunchi,XY
Sorex asper,XAfusion
Sorex bairdi,XY
Sorex bedfordiae,XY
Sorex bendirii,XY
Sorex buchariensis,XY
Sorex caecutiens,XY
Sorex camtschatica,XY
Sorex cansulus,XY
Sorex cinereus,XY
Sorex coronatus,XAfusion
Sorex cylindricauda,XY
Sorex daphaenodon,XAfusion
Sorex dispar,XY
Sorex emarginatus,XY
Sorex excelsus,XY
Sorex fumeus,XY
Sorex gracillimus,XY
Sorex granarius,XAfusion
Sorex haydeni,XY
Sorex hosonoi,XY
Sorex hoyi,XY
Sorex isodon,XY
Sorex ixtlanensis,XY
Sorex jacksoni,XY
Sorex kozlovi,XY
Sorex leucogaster,XY
Sorex longirostris,XY
Sorex lyelli,XY
Sorex macrodon,XY
Sorex maritimensis,XAfusion
Sorex mediopua,XY
Sorex merriami,XY
Sorex milleri,XY
Sorex minutissimus,XY
Sorex minutus,XY
Sorex mirabilis,XY
Sorex monticolus,XY
Sorex nanus,XY
Sorex neomexicanus,XY
Sorex oreopolus,XY
Sorex orizabae,XY
Sorex ornatus,XY
Sorex pacificus,XY
Sorex palustris,XY
Sorex planiceps,XY
Sorex portenkoi,XY
Sorex preblei,XY
Sorex pribilofensis,XY
Sorex raddei,XY
Sorex roboratus,XY
Sorex rohweri,XY
Sorex samniticus,XY
Sorex satunini,XAfusion
Sorex saussurei,XY
Sorex sclateri,XY
Sorex shinto,XY
Sorex sinalis,XY
Sorex sonomae,XY
Sorex stizodon,XY
Sorex tenellus,XY
Sorex thibetanus,XY
Sorex trowbridgii,XY
Sorex tundrensis,XAfusion
Sorex ugyunak,XY
Sorex unguiculatus,XY
Sorex vagrans,XY
Sorex ventralis,XY
Sorex veraecrucis,XY
Sorex veraepacis,XY
Sorex volnuchini,XY
Sorex yukonicus,XY
Soriculus nigrescens,XY
Suncus aequatorius,XY
Suncus ater,XY
Suncus dayi,XY
Suncus etruscus,XY
Suncus fellowesgordoni,XY
Suncus hosei,XY
Suncus hututsi,XY
Suncus infinitesimus,XY
Suncus lixus,XY
Suncus madagascariensis,XY
Suncus malayanus,XY
Suncus megalura,XY
Suncus mertensi,XY
Suncus montanus,XY
Suncus murinus,XY
Suncus remyi,XY
Suncus stoliczkanus,XY
Suncus varilla,XY
Suncus zeylanicus,XY
Surdisorex norae,XY
Surdisorex polulus,XY
Surdisorex schlitteri,XY
Sylvisorex akaibei,XY
Sylvisorex camerunensis,XY
Sylvisorex corbeti,XY
Sylvisorex granti,XY
Sylvisorex howelli,XY
Sylvisorex isabellae,XY
Sylvisorex johnstoni,XY
Sylvisorex konganensis,XY
Sylvisorex lunaris,XY
Sylvisorex morio,XY
Sylvisorex ollula,XY
Sylvisorex oriundus,XY
Sylvisorex pluvialis,XY
Sylvisorex silvanorum,XY
Sylvisorex vulcanorum,XY
