Family,Species,Sex,Known or assumed karyotype?,Citation,Comments
Soricidae,Sorex buchariensis,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex caecutiens,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex camtschatica,XY,Assumed,NA,NA
Soricidae,Sorex cansulus,XY,Assumed,NA,NA
Soricidae,Sorex cinereus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex coronatus,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex cylindricauda,XY,Assumed,NA,NA
Soricidae,Sorex daphaenodon,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex dispar,XY,Assumed,NA,NA
Soricidae,Sorex emarginatus,XY,Assumed,NA,NA
Soricidae,Sorex excelsus,XY,Assumed,NA,NA
Soricidae,Sorex fumeus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex gracillimus,XY,Assumed,NA,NA
Soricidae,Sorex granarius,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex haydeni,XY,Assumed,NA,NA
Soricidae,Sorex hosonoi,XY,Assumed,NA,NA
Soricidae,Sorex hoyi,XY,Assumed,NA,NA
Soricidae,Sorex isodon,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex ixtlanensis,XY,Assumed,NA,NA
Soricidae,Sorex jacksoni,XY,Assumed,NA,NA
Soricidae,Sorex kozlovi,XY,Assumed,NA,"Sorex kozlovi is traditionally placed in the Sorex minutus group (Bannikova et al. 2018). In the Upham et al. (2019) phylogeny, its position is instead imputed as sister to Sorex daphaenodon as the only assumed XX/XY species in a clade otherwise wholly populated by species with X-autosome fusions. Given the lack of available cytological evidence to support or falsify this likely spurious placement, it was excluded from our trees and analyses."
Soricidae,Sorex leucogaster,XY,Assumed,NA,NA
Soricidae,Sorex longirostris,XY,Assumed,NA,NA
Soricidae,Sorex lyelli,XY,Assumed,NA,NA
Soricidae,Sorex macrodon,XY,Assumed,NA,NA
Soricidae,Sorex maritimensis,XAfusion,Known,Bulatova et al. (2019),NA
Soricidae,Sorex mediopua,XY,Assumed,NA,NA
Soricidae,Sorex merriami,XY,Assumed,NA,NA
Soricidae,Sorex milleri,XY,Assumed,NA,NA
Soricidae,Sorex minutissimus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex minutus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex mirabilis,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex monticolus,XY,Assumed,NA,NA
Soricidae,Sorex nanus,XY,Assumed,NA,NA
Soricidae,Sorex neomexicanus,XY,Assumed,NA,NA
Soricidae,Sorex oreopolus,XY,Assumed,NA,NA
Soricidae,Sorex orizabae,XY,Assumed,NA,NA
Soricidae,Sorex ornatus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex pacificus,XY,Assumed,NA,NA
Soricidae,Sorex palustris,XY,Assumed,NA,NA
Soricidae,Sorex planiceps,XY,Assumed,NA,NA
Soricidae,Sorex portenkoi,XY,Assumed,NA,NA
Soricidae,Sorex preblei,XY,Assumed,NA,NA
Soricidae,Sorex pribilofensis,XY,Assumed,NA,NA
Soricidae,Sorex raddei,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex roboratus,XY,Assumed,NA,NA
Soricidae,Sorex rohweri,XY,Assumed,NA,NA
Soricidae,Sorex samniticus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex satunini,XAfusion,Known,Bulatova et al. (2019),NA
Soricidae,Sorex saussurei,XY,Assumed,NA,NA
Soricidae,Sorex sclateri,XY,Assumed,NA,NA
Soricidae,Sorex shinto,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex sinalis,XY,Assumed,NA,NA
Soricidae,Sorex sonomae,XY,Assumed,NA,NA
Soricidae,Sorex stizodon,XY,Assumed,NA,NA
Soricidae,Sorex tenellus,XY,Assumed,NA,NA
Soricidae,Sorex thibetanus,XY,Assumed,NA,NA
Soricidae,Sorex trowbridgii,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex tundrensis,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex ugyunak,XY,Assumed,NA,NA
Soricidae,Sorex unguiculatus,XY,Assumed,NA,NA
Soricidae,Sorex vagrans,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex ventralis,XY,Assumed,NA,NA
Soricidae,Sorex veraecrucis,XY,Assumed,NA,NA
Soricidae,Sorex veraepacis,XY,Assumed,NA,NA
Soricidae,Sorex volnuchini,XY,Assumed,NA,NA
Soricidae,Sorex yukonicus,XY,Assumed,NA,NA
Soricidae,Soriculus nigrescens,XY,Assumed,NA,NA
Soricidae,Suncus aequatorius,XY,Assumed,NA,NA
Soricidae,Suncus ater,XY,Assumed,NA,NA
Soricidae,Suncus dayi,XY,Assumed,NA,NA
Soricidae,Suncus etruscus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Suncus fellowesgordoni,XY,Assumed,NA,NA
Soricidae,Suncus hosei,XY,Assumed,NA,NA
Soricidae,Suncus hututsi,XY,Assumed,NA,NA
Soricidae,Suncus infinitesimus,XY,Assumed,NA,NA
Soricidae,Suncus lixus,XY,Assumed,NA,NA
Soricidae,Suncus madagascariensis,XY,Assumed,NA,NA
Soricidae,Suncus malayanus,XY,Assumed,NA,NA
Soricidae,Suncus megalura,XY,Assumed,NA,NA
Soricidae,Suncus mertensi,XY,Assumed,NA,NA
Soricidae,Suncus montanus,XY,Assumed,NA,NA
Soricidae,Suncus murinus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Suncus remyi,XY,Assumed,NA,NA
Soricidae,Suncus stoliczkanus,XY,Assumed,NA,NA
Soricidae,Suncus varilla,XY,Assumed,NA,NA
Soricidae,Suncus zeylanicus,XY,Assumed,NA,NA
Soricidae,Surdisorex norae,XY,Assumed,NA,NA
Soricidae,Surdisorex polulus,XY,Assumed,NA,NA
Soricidae,Surdisorex schlitteri,XY,Assumed,NA,NA
Soricidae,Sylvisorex akaibei,XY,Assumed,NA,NA
Soricidae,Sylvisorex camerunensis,XY,Assumed,NA,NA
Soricidae,Sylvisorex corbeti,XY,Assumed,NA,NA
Soricidae,Sylvisorex granti,XY,Assumed,NA,NA
Soricidae,Sylvisorex howelli,XY,Assumed,NA,NA
Soricidae,Sylvisorex isabellae,XY,Assumed,NA,NA
Soricidae,Sylvisorex johnstoni,XY,Assumed,NA,NA
Soricidae,Sylvisorex konganensis,XY,Assumed,NA,NA
Soricidae,Sylvisorex lunaris,XY,Assumed,NA,NA
Soricidae,Sylvisorex morio,XY,Assumed,NA,NA
Soricidae,Sylvisorex ollula,XY,Assumed,NA,NA
Soricidae,Sylvisorex oriundus,XY,Assumed,NA,NA
Soricidae,Sylvisorex pluvialis,XY,Assumed,NA,NA
Soricidae,Sylvisorex silvanorum,XY,Assumed,NA,NA
Soricidae,Sylvisorex vulcanorum,XY,Assumed,NA,NA
Phyllostomidae,Ametrida centurio,XAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Anoura canishina,XY,Assumed,NA,NA
Phyllostomidae,Anoura caudifer,XY,Assumed,NA,NA
Phyllostomidae,Anoura cultrata,XY,Assumed,NA,NA
Phyllostomidae,Anoura fistulata,XY,Assumed,NA,NA
Phyllostomidae,Anoura geoffroyi,XY,Assumed,NA,NA
Phyllostomidae,Anoura latidens,XY,Assumed,NA,NA
Phyllostomidae,Anoura luismanueli,XY,Assumed,NA,NA
Phyllostomidae,Ardops nichollsi,XAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Ariteus flavescens,XAfusion,Known,Greenbaum et al. (1975),NA
Phyllostomidae,Artibeus amplus,XY,Assumed,NA,NA
Phyllostomidae,Artibeus concolor,XY,Assumed,NA,NA
Phyllostomidae,Artibeus fimbriatus,XAfusion,Known,Pinto et al. (2012),NA
Phyllostomidae,Artibeus fraterculus,XY,Assumed,NA,NA
Phyllostomidae,Artibeus hirsutus,XY,Assumed,NA,NA
Phyllostomidae,Artibeus inopinatus,XY,Assumed,NA,NA
Phyllostomidae,Artibeus jamaicensis,XAfusion,Known,Baker (1967),NA
Phyllostomidae,Artibeus lituratus,XAfusion,Known,Yonenaga et al. (1969),NA
Phyllostomidae,Artibeus obscurus,XAfusion,Known,Pieczarka et al. (2013),NA
Phyllostomidae,Artibeus planirostris,XAfusion,Known,Pinto et al. (2012),NA
Phyllostomidae,Brachyphylla cavernarum,XY,Assumed,NA,NA
Phyllostomidae,Brachyphylla nana,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Carollia benkeithi,XY,Assumed,NA,NA
Phyllostomidae,Carollia brevicauda,XAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Carollia castanea,XAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Carollia manu,XY,Assumed,NA,NA
Phyllostomidae,Carollia perspicillata,XAfusion,Known,Yonenaga et al. (1969),NA
Phyllostomidae,Carollia sowelli,XY,Assumed,NA,NA
Phyllostomidae,Carollia subrufa,XAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Centurio senex,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Chiroderma doriae,XY,Assumed,NA,NA
Phyllostomidae,Chiroderma improvisum,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Chiroderma salvini,XY,Assumed,NA,NA
Phyllostomidae,Chiroderma trinitatum,XY,Assumed,NA,NA
Phyllostomidae,Chiroderma villosum,XAYAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Chiroderma vizottoi,XY,Assumed,NA,NA
Phyllostomidae,Choeroniscus godmani,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Choeroniscus minor,XY,Assumed,NA,NA
Phyllostomidae,Choeroniscus periosus,XY,Assumed,NA,NA
Phyllostomidae,Choeronycteris mexicana,XY,Assumed,NA,NA
Phyllostomidae,Chrotopterus auritus,XY,Assumed,NA,NA
Phyllostomidae,Dermanura anderseni,XY,Assumed,NA,NA
Phyllostomidae,Dermanura azteca,XAfusion,Known,Webster and Jones (1982),NA
Phyllostomidae,Dermanura bogotensis,XY,Assumed,NA,NA
Phyllostomidae,Dermanura cinerea,XAYAfusion,Known,Santos and Souza (1998),NA
Phyllostomidae,Dermanura glauca,XY,Assumed,NA,NA
Phyllostomidae,Dermanura gnoma,XY,Assumed,NA,NA
Phyllostomidae,Dermanura incomitatus,XY,Assumed,NA,NA
Phyllostomidae,Dermanura phaeotis,XAYAfusion,Known,Hsu et al. (1968),NA
Phyllostomidae,Dermanura rava,XY,Assumed,NA,NA
Phyllostomidae,Dermanura rosenbergi,XY,Assumed,NA,NA
Phyllostomidae,Dermanura tolteca,XAfusion,Known,Hsu et al. (1968),NA
Phyllostomidae,Dermanura watsoni,XAYAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Desmodus draculae,XY,Assumed,NA,NA
Phyllostomidae,Desmodus rotundus,XY,Assumed,NA,NA
Phyllostomidae,Diaemus youngii,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Diphylla ecaudata,XY,Assumed,NA,NA
Phyllostomidae,Dryadonycteris capixaba,XY,Assumed,NA,NA
Phyllostomidae,Ectophylla alba,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Enchisthenes hartii,XY,Assumed,NA,NA
Phyllostomidae,Erophylla bombifrons,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Erophylla sezekorni,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Gardnerycteris crenulata,XY,Assumed,NA,NA
Phyllostomidae,Gardnerycteris koepckeae,XY,Assumed,NA,NA
Phyllostomidae,Glossophaga commissarisi,XY,Assumed,NA,NA
Phyllostomidae,Glossophaga leachii,XY,Assumed,NA,NA
Phyllostomidae,Glossophaga longirostris,XY,Assumed,NA,NA
Phyllostomidae,Glossophaga morenoi,XY,Assumed,NA,NA
Phyllostomidae,Glossophaga soricina,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Glyphonycteris behnii,XY,Assumed,NA,NA
Phyllostomidae,Glyphonycteris daviesi,XY,Assumed,NA,NA
Phyllostomidae,Glyphonycteris sylvestris,XY,Assumed,NA,NA
Phyllostomidae,Hsunycteris cadenai,XY,Assumed,NA,NA
Phyllostomidae,Hsunycteris pattoni,XY,Assumed,NA,NA
Phyllostomidae,Hsunycteris thomasi,XY,Assumed,NA,NA
Phyllostomidae,Hylonycteris underwoodi,XY,Assumed,NA,NA
Phyllostomidae,Lampronycteris brachyotis,XY,Assumed,NA,NA
Phyllostomidae,Leptonycteris curasoae,XY,Assumed,NA,NA
Phyllostomidae,Leptonycteris nivalis,XY,Assumed,NA,NA
Phyllostomidae,Leptonycteris yerbabuenae,XY,Assumed,NA,NA
Phyllostomidae,Lichonycteris obscura,XY,Assumed,NA,NA
Phyllostomidae,Lionycteris spurrelli,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla bokermanni,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla chocoana,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla concava,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla dekeyseri,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla fornicata,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla handleyi,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla hesperia,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla inexpectata,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla mordax,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla orcesi,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla orienticollina,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla peracchii,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla robusta,XY,Assumed,NA,NA
Phyllostomidae,Lonchophylla thomasi,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Lonchorhina aurita,XY,Assumed,NA,NA
Phyllostomidae,Lonchorhina fernandezi,XY,Assumed,NA,NA
Phyllostomidae,Lonchorhina inusitata,XY,Assumed,NA,NA
Phyllostomidae,Lonchorhina marinkellei,XY,Assumed,NA,NA
Phyllostomidae,Lonchorhina orinocensis,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma brasiliense,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma carrikeri,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma evotis,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma kalkoae,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma occidentale,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma schulzi,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma silvicola,XY,Assumed,NA,NA
Phyllostomidae,Lophostoma yasuni,XY,Assumed,NA,NA
Phyllostomidae,Macrophyllum macrophyllum,XY,Assumed,NA,NA
Phyllostomidae,Macrotus californicus,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Macrotus waterhousii,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Mesophylla macconnelli,XAYAfusion,Known,Baker and Hsu (1970),NA
Phyllostomidae,Micronycteris brosseti,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris buriri,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris giovanniae,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris hirsuta,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris matses,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris megalotis,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Micronycteris microtis,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris minuta,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Micronycteris sanborni,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris schmidtorum,XY,Assumed,NA,NA
Phyllostomidae,Micronycteris yatesi,XY,Assumed,NA,NA
Phyllostomidae,Mimon bennettii,XY,Assumed,NA,NA
Phyllostomidae,Mimon cozumelae,XY,Assumed,NA,NA
Phyllostomidae,Monophyllus plethodon,XY,Assumed,NA,NA
Phyllostomidae,Monophyllus redmani,XY,Assumed,NA,NA
Phyllostomidae,Musonycteris harrisoni,XY,Assumed,NA,NA
Phyllostomidae,Neonycteris pusilla,XY,Assumed,NA,NA
Phyllostomidae,Phylloderma stenops,XY,Assumed,NA,NA
Phyllostomidae,Phyllonycteris aphylla,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Phyllonycteris poeyi,XY,Assumed,NA,NA
Phyllostomidae,Phyllops falcatus,XAfusion,Known,Greenbaum et al. (1975),NA
Phyllostomidae,Phyllostomus discolor,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Phyllostomus elongatus,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Phyllostomus hastatus,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Phyllostomus latifolius,XY,Assumed,NA,NA
Phyllostomidae,Platalina genovensium,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus albericoi,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus angustirostris,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus aurarius,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus brachycephalus,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus chocoensis,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus dorsalis,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus fusciventris,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus guianensis,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus helleri,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus infuscus,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus ismaeli,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus lineatus,XAYAfusion,Known,Baker and Bickham (1980),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Phyllostomidae,Platyrrhinus masu,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus matapalensis,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus nigellus,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus nitelinea,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus recifinus,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus umbratus,XY,Assumed,NA,NA
Phyllostomidae,Platyrrhinus vittatus,XAYAfusion,Known,Varella-Garcia et al. (1989),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Phyllostomidae,Pygoderma bilabiatum,XY,Assumed,NA,NA
Phyllostomidae,Rhinophylla alethina,XY,Assumed,NA,NA
Phyllostomidae,Rhinophylla fischerae,XY,Assumed,NA,NA
Phyllostomidae,Rhinophylla pumilio,XY,Assumed,NA,NA
Phyllostomidae,Scleronycteris ega,XY,Assumed,NA,NA
Phyllostomidae,Sphaeronycteris toxophyllum,XY,Assumed,NA,NA
Phyllostomidae,Stenoderma rufum,XY,Assumed,NA,NA
Phyllostomidae,Sturnira angeli,XY,Assumed,NA,NA
Phyllostomidae,Sturnira aratathomasi,XY,Assumed,NA,NA
Phyllostomidae,Sturnira bakeri,XY,Assumed,NA,NA
Phyllostomidae,Sturnira bidens,XY,Assumed,NA,NA
Phyllostomidae,Sturnira bogotensis,XY,Assumed,NA,NA
Phyllostomidae,Sturnira burtonlimi,XY,Assumed,NA,NA
Phyllostomidae,Sturnira erythromos,XY,Assumed,NA,NA
Phyllostomidae,Sturnira hondurensis,XY,Assumed,NA,NA
Phyllostomidae,Sturnira koopmanhilli,XY,Assumed,NA,NA
Phyllostomidae,Sturnira lilium,XY,Assumed,NA,NA
Phyllostomidae,Sturnira ludovici,XY,Assumed,NA,NA
Phyllostomidae,Sturnira luisi,XY,Assumed,NA,NA
Phyllostomidae,Sturnira magna,XY,Assumed,NA,NA
Phyllostomidae,Sturnira mistratensis,XY,Assumed,NA,NA
Phyllostomidae,Sturnira mordax,XY,Assumed,NA,NA
Phyllostomidae,Sturnira nana,XY,Assumed,NA,NA
Phyllostomidae,Sturnira oporaphilum,XY,Assumed,NA,NA
Phyllostomidae,Sturnira parvidens,XY,Assumed,NA,NA
Phyllostomidae,Sturnira paulsoni,XY,Assumed,NA,NA
Phyllostomidae,Sturnira perla,XY,Assumed,NA,NA
Phyllostomidae,Sturnira sorianoi,XY,Assumed,NA,NA
Phyllostomidae,Sturnira tildae,XY,Assumed,NA,NA
Phyllostomidae,Tonatia bidens,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Tonatia saurophila,XY,Assumed,NA,NA
Phyllostomidae,Trachops cirrhosus,XY,Assumed,NA,NA
Phyllostomidae,Trinycteris nicefori,XY,Assumed,NA,NA
Phyllostomidae,Uroderma bakeri,XY,Assumed,NA,NA
Phyllostomidae,Uroderma bilobatum,XAYAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Uroderma magnirostrum,XAYAfusion,Known,Pieczarka et al. (2013),NA
Phyllostomidae,Vampyressa elisabethae,XY,Assumed,NA,NA
Phyllostomidae,Vampyressa melissa,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Vampyressa pusilla,XAYAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Vampyressa sinchi,XY,Assumed,NA,NA
Phyllostomidae,Vampyressa thyone,XAYAfusion,Known,Baker (1973),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Phyllostomidae,Vampyriscus bidens,XAYAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Vampyriscus brocki,XAYAfusion,Known,Blackmon et al. (2019),NA
Phyllostomidae,Vampyriscus nymphaeus,XY,Known,Blackmon et al. (2019),NA
Phyllostomidae,Vampyrodes caraccioli,XAYAfusion,Known,Baker (1973),"While this karyotype has been studied, certain chromosome morphology attributes relevant to our study were not recorded."
Phyllostomidae,Vampyrum spectrum,XY,Assumed,NA,NA
Phyllostomidae,Xeronycteris vieirai,XY,Assumed,NA,NA